,precision,recall,f1-score,support
BENIGN,0.8678626121198862,0.991997999499875,0.9257876312718787,3999.0
DNS,0.9611801242236024,0.46425,0.6260957518543493,4000.0
LDAP,0.6514137707748759,0.7545,0.699177574423723,4000.0
MSSQL,0.6661261261261261,0.92425,0.7742408376963351,4000.0
NTP,0.8634122287968442,0.8755,0.8694141012909633,4000.0
NetBIOS,0.8798151001540832,0.71375,0.7881297446514838,4000.0
SNMP,0.6748924609463437,0.74525,0.7083283830343353,4000.0
SSDP,0.7471321695760599,0.3745,0.49891756869275605,4000.0
Syn,0.9869437783106848,0.926,0.9555010963498001,4000.0
TFTP,0.8799019607843137,0.98725,0.9304901036757776,4000.0
UDP,0.4746624583552516,0.67675,0.5579717613109347,4000.0
UDP-lag,0.5046626439934174,0.46,0.48129741041067226,4000.0
accuracy,0.7411612741932123,0.7411612741932123,0.7411612741932123,0.7411612741932123
macro avg,0.7631671195134574,0.741166499958323,0.7346126637219174,47999.0
weighted avg,0.7631649383119198,0.7411612741932123,0.7346086808271165,47999.0
